x,y,value
128,848,1
128,3026,1
128,4110,1
128,2720,1
128,4797,1
129,1449,1
129,849,1
129,3027,1
129,4111,1
129,5024,1
129,2877,1
130,1450,1
130,850,1
130,3028,1
130,4830,1
130,2840,1
130,4077,1
131,1451,1
131,851,1
131,3029,1
131,4831,1
131,4304,1
131,2757,1
132,1452,1
132,852,1
132,3744,1
132,2670,1
132,3320,1
132,4893,1
133,1453,1
133,853,1
133,3745,1
133,2671,1
133,4784,1
133,3573,1
134,1454,1
134,854,1
134,3746,1
134,3390,1
134,2600,1
134,4773,1
135,1455,1
135,855,1
135,3747,1
135,3391,1
135,4904,1
135,2853,1
136,1456,1
136,856,1
136,3748,1
136,4950,1
136,2864,1
136,3357,1
137,1457,1
137,857,1
137,3749,1
137,4951,1
137,3584,1
137,2637,1
138,1458,1
138,858,1
138,4464,1
138,2790,1
138,3344,1
138,4173,1
139,1459,1
139,859,1
139,4465,1
139,2791,1
139,4064,1
139,3453,1
140,1460,1
140,860,1
140,4466,1
140,3510,1
140,2624,1
140,4053,1
141,1461,1
141,861,1
141,4467,1
141,3511,1
141,4184,1
141,2733,1
142,1462,1
142,862,1
142,4468,1
142,4230,1
142,2744,1
142,3333,1
143,1463,1
143,863,1
143,4469,1
143,4231,1
143,3464,1
143,2613,1
144,1464,1
144,2400,1
144,984,1
144,3054,1
144,4118,1
144,5027,1
145,1465,1
145,2401,1
145,985,1
145,3055,1
145,4838,1
145,4307,1
146,1466,1
146,2402,1
146,986,1
146,3774,1
146,3398,1
146,4907,1
147,1467,1
147,2403,1
147,987,1
147,3775,1
147,4958,1
147,3587,1
148,1468,1
148,2404,1
148,988,1
148,4494,1
148,3518,1
148,4187,1
149,1469,1
149,2405,1
149,989,1
149,4495,1
149,4238,1
149,3467,1
150,1470,1
150,2406,1
150,3288,1
150,1134,1
150,3806,1
150,4967,1
151,1471,1
151,2407,1
151,3289,1
151,1135,1
151,4526,1
151,4247,1
152,1472,1
152,2408,1
152,3290,1
152,4164,1
152,1286,1
152,4559,1
153,1473,1
