eigenvalue,multiplicity,estimated rational
[-1.4842609],15,[-1.48426]
[-1.555452],15,-14/9
[-1.5662295],20,[-1.56623]
[-1.5984808],20,[-1.59848]
[-1.6353413],20,[-1.63534]
[-1.6427437],20,[-1.64274]
[-1.6716629],10,[-1.67166]
[-1.7092189],10,[-1.70922]
[-1.7151953],10,[-1.7152]
[-1.7416822],20,[-1.74168]
[-1.7629324],10,[-1.76293]
[-1.767717],5,[-1.76772]
[-1.778318],10,[-1.77832]
[-1.7928957],20,[-1.7929]
[-1.8284277],10,[-1.82843]
[-1.8481928],20,-767/415
[-1.9085904],20,[-1.90859]
[-1.9999987],20,-2
[-2.0486803],15,[-2.04868]
[-2.0548506],20,[-2.05485]
[-2.0818548],15,[-2.08185]
[-2.1552424],20,[-2.15524]
[-2.2284694],5,[-2.22847]
[-2.246426],20,[-2.24643]
[-2.2608824],15,-52/23
[-2.2713208],10,[-2.27132]
[-2.3008747],20,[-2.30087]
[-2.303947],10,[-2.30395]
[-2.3164349],20,[-2.31643]
[-2.334145],10,-7/3
[-2.3395314],10,[-2.33953]
[-2.414003],20,[-2.414]
[-2.4354138],20,[-2.43541]
[-2.4932885],20,-743/298
[-2.5089998],15,[-2.509]
[-2.532434],15,[-2.53243]
[-2.561552],10,[-2.56155]
[-2.5843315],10,[-2.58433]
[-2.6276102],10,[-2.62761]
[-2.664175],6,[-2.66418]
[-2.6974216],10,[-2.69742]
[-2.7020822],15,[-2.70208]
[-2.8828187],5,[-2.88282]
[-2.9172873],9,[-2.91729]
[-2.9278402],20,[-2.92784]
[-2.9466882],15,[-2.94669]
[-2.948738],15,[-2.94874]
[-3.0000072],4,-3
